PC	variation
PC01	21.989026580447543
PC02	18.288022856296937
PC03	3.916590180411751
PC04	3.708732170247235
PC05	3.6313114091105616
PC06	3.36522780108892
PC07	3.3159903108020137
PC08	3.166368719112147
PC09	3.0308453567648903
PC10	2.753177130865751
PC11	2.62144153968361
PC12	2.37919378533328
PC13	2.337816449114462
PC14	2.2110028512898743
PC15	2.04167407993973
PC16	1.9503164485870095
PC17	1.8373890731841596
PC18	1.539095463785247
PC19	1.490973553682991
PC20	1.3689602734743198
PC21	1.2578357483383231
PC22	1.10055600625963
PC23	1.0466896752657828
PC24	0.9818093163883993
PC25	0.9182723772900551
PC26	0.8237845435330469
PC27	0.7458485900417137
PC28	0.6827795321357211
PC29	0.6607806217930489
PC30	0.5949052431276056
PC31	0.5460105733546843
PC32	0.5190536226443586
