PC	variation
PC01	29.23836950636997
PC02	21.967908646151706
PC03	17.269946124144443
PC04	17.226364389672387
PC05	14.297411333661461
PC06	5.094184569999736e-15
PC07	4.4679869927397e-15
PC08	3.0415136381429995e-15
PC09	1.6373509598148442e-15
PC10	1.1908954984635389e-15
PC11	4.883899475358045e-16
PC12	3.4173374213652297e-16
PC13	3.004254541627865e-16
PC14	2.659477297801257e-16
PC15	2.1163422891634086e-16
PC16	1.4583112115698747e-16
PC17	1.0922335602087328e-16
PC18	7.815203173404605e-17
PC19	6.86953424168099e-17
PC20	5.70811871291086e-17
PC21	3.502029744348368e-17
PC22	1.2685509882968636e-17
PC23	7.315774693309522e-19
PC24	-1.0893403905910748e-19
PC25	-9.30916592877656e-18
PC26	-1.4783094183986608e-17
PC27	-2.4302317853331493e-17
PC28	-4.566396369828833e-17
PC29	-5.870805660931484e-17
PC30	-1.0309016211775976e-16
PC31	-1.1451354595152613e-16
PC32	-1.3854486462503503e-16
