PC	variation
PC01	6.037790029718247
PC02	3.1840648933857962
PC03	3.072210549357234
PC04	3.01982894105242
PC05	3.019828941052417
PC06	3.019828941052417
PC07	3.019828941052417
PC08	3.019828941052417
PC09	3.019828941052415
PC10	3.019828941052415
PC11	3.019828941052415
PC12	3.019828941052415
PC13	3.019828941052414
PC14	3.019828941052414
PC15	3.019828941052414
PC16	3.019828941052414
PC17	3.019828941052414
PC18	3.0198289410524137
PC19	3.0198289410524137
PC20	3.0198289410524137
PC21	3.0198289410524133
PC22	3.019828941052413
PC23	3.019828941052412
PC24	3.019828941052412
PC25	3.019828941052412
PC26	3.019828941052411
PC27	3.019828941052411
PC28	3.019828941052411
PC29	3.01982894105241
PC30	3.01982894105241
PC31	3.019828941052409
PC32	2.9299276366803415
