PC	variation
PC01	11.060179035208757
PC02	6.920281036028402
PC03	5.438155545383105
PC04	4.748450717703127
PC05	4.422858550460583
PC06	4.181125898177415
PC07	3.9731266850772107
PC08	3.8218951172953624
PC09	3.7159628943562493
PC10	3.476690654451061
PC11	3.3219288472208808
PC12	3.114927371728912
PC13	3.102655966265222
PC14	2.8464815126217435
PC15	2.696904260610119
PC16	2.5770063479795455
PC17	2.5381430112048764
PC18	2.3177471399712757
PC19	2.2119764518332135
PC20	2.134814802797229
PC21	2.0574984212683924
PC22	1.9166318083160927
PC23	1.8195388719757695
PC24	1.6749192779567035
PC25	1.6220428565492624
PC26	1.5574629579818322
PC27	1.4293995787696478
PC28	1.2906719990075766
PC29	1.1950567998565595
PC30	1.0998508261922273
PC31	0.9696879452965391
PC32	0.8414322820938895
