PC	variation
PC01	39.35213155682008
PC02	5.936798191990719
PC03	3.7839080664418363
PC04	3.58116389272301
PC05	3.438747448643302
PC06	3.131825061395505
PC07	2.8534537425984183
PC08	2.629806709366207
PC09	2.349659664375732
PC10	2.320406838613364
PC11	2.167731573566425
PC12	2.077583768852379
PC13	2.0478178794413897
PC14	1.9381234206848494
PC15	1.8208273902982421
PC16	1.7888341740761233
PC17	1.7173191702545343
PC18	1.5576090597469914
PC19	1.459729421477322
PC20	1.4571035558491012
PC21	1.2989232116586382
PC22	1.2904823382638815
PC23	1.1664822271427153
PC24	1.1238574244568797
PC25	0.9957173284546305
PC26	0.7965022284095995
PC27	0.7700549585388282
PC28	0.6857699917043435
PC29	0.5889514731307759
PC30	0.5467570704417045
PC31	0.4937861236867865
PC32	0.47584409700043045
