PC	variation
PC01	38.25577490276968
PC02	5.855737863886507
PC03	3.7186740787427355
PC04	3.5276366751339836
PC05	3.3814335764974515
PC06	3.0790215260733045
PC07	2.8214904997324513
PC08	2.61622889694705
PC09	2.367614302689359
PC10	2.3331715719497743
PC11	2.164252031511086
PC12	2.105771440070183
PC13	1.981502422083194
PC14	1.8872131349631192
PC15	1.8492901831519366
PC16	1.8156342164796069
PC17	1.6833812698056883
PC18	1.6061499305803657
PC19	1.5232876185908693
PC20	1.5137391254895656
PC21	1.3381993009327415
PC22	1.314846064086045
PC23	1.2232388404703798
PC24	1.1840942510095658
PC25	1.0682238544726492
PC26	0.8781327092837841
PC27	0.8406278041209959
PC28	0.7704508073871328
PC29	0.6768011722571701
PC30	0.6044654134690847
PC31	0.5511791061947265
PC32	0.5372541724234896
