PC	variation
PC01	12.927141139686732
PC02	9.134615725410674
PC03	8.42329591050798
PC04	8.15698834482588
PC05	6.941804446312644
PC06	5.704560376728
PC07	5.521152744477745
PC08	5.331419411308246
PC09	5.139943180266082
PC10	4.608791642742025
PC11	4.486168175575517
PC12	4.349000814822892
PC13	4.0473977358405815
PC14	3.741286950140511
PC15	3.280678605188307
PC16	2.5411047487583196
PC17	2.181484844806819
PC18	1.6609801176557317
PC19	1.3790880501940228
PC20	0.4430970347513382
PC21	2.4517677379903784e-15
PC22	1.9941347114751047e-15
PC23	1.8561865641113613e-15
PC24	1.37991171420824e-15
PC25	1.0816373078819823e-15
PC26	9.477513624848898e-16
PC27	7.795529881806073e-16
PC28	4.576266057653484e-16
PC29	3.873314975324133e-16
PC30	2.3246325903190067e-16
PC31	1.402602719279272e-16
PC32	2.2541314982952712e-17
