PC	variation
PC01	7.155034070173981
PC02	4.854217423951226
PC03	4.368014166027823
PC04	4.354801755214323
PC05	4.314745700588454
PC06	4.303014892026538
PC07	4.262760812629578
PC08	4.262760812629578
PC09	4.262760812629578
PC10	4.262760812629576
PC11	4.262760812629576
PC12	4.262760812629576
PC13	4.262760812629575
PC14	4.262760812629575
PC15	4.262760812629575
PC16	4.262760812629574
PC17	4.262760812629574
PC18	4.2627608126295735
PC19	4.2627608126295735
PC20	4.2627608126295735
PC21	4.262760812629571
PC22	3.5215699338006576
PC23	2.868529820074318
PC24	0.31866004869908715
PC25	1.6574008740468015e-15
PC26	1.1292458223465542e-15
PC27	1.0115472146037595e-15
PC28	6.811948290979177e-16
PC29	6.171084215126684e-16
PC30	3.977809311075323e-16
PC31	2.6378063318700003e-16
PC32	-9.613666537160225e-17
