PC	variation
PC01	15.056768957124117
PC02	3.1317825782922046
PC03	2.56527420067035
PC04	2.482994071604159
PC05	2.2337305588690044
PC06	2.1811216903414437
PC07	2.1629318464740357
PC08	2.154798011104225
PC09	2.1381397229645436
PC10	2.1284106536574323
PC11	2.124483811702496
PC12	2.1138040300260394
PC13	2.1051656190449246
PC14	2.1031065597667906
PC15	2.0996597190973905
PC16	2.0975387867379807
PC17	2.0942881539634453
PC18	2.0900948851027628
PC19	2.088550717867884
PC20	2.0865169062462647
PC21	2.080772978126469
PC22	2.0762910821271356
PC23	2.0746999168992533
PC24	2.0730299043433096
PC25	2.068174412830318
PC26	2.0616425456728305
PC27	2.0599622802488424
PC28	2.0518561089604868
PC29	2.0390139473611573
PC30	2.0322567114365855
PC31	2.001856548878961
PC32	1.8543585580115947
