PC	variation
PC01	3.312311486096365
PC02	3.1010792129280507
PC03	2.8223669244414387
PC04	2.7127491306628757
PC05	2.626345080566805
PC06	2.5855522038257046
PC07	2.5701511729654873
PC08	2.5572182287813003
PC09	2.5528962149016796
PC10	2.5302866787228018
PC11	2.5207202545057688
PC12	2.5131307590427903
PC13	2.5007282185716484
PC14	2.48741713924907
PC15	2.478586174691029
PC16	2.4649769300775723
PC17	2.457062355658781
PC18	2.4540364692465455
PC19	2.4378297360107317
PC20	2.432709275753953
PC21	2.422286616249443
PC22	2.4100867230441705
PC23	2.4033002601316076
PC24	2.391353955733657
PC25	2.3828713997962483
PC26	2.375836519751577
PC27	2.36002106742612
PC28	2.35489803447708
PC29	2.352126614323581
PC30	2.337073606425916
PC31	2.331464908269365
PC32	2.321973816111447
