PC	variation
PC01	2.701929727550681
PC02	2.6905599868489225
PC03	2.615964222259316
PC04	2.595440512603399
PC05	2.5825501984772714
PC06	2.5789023246339005
PC07	2.5674015195073547
PC08	2.558407774330872
PC09	2.5539385181476337
PC10	2.5431120835385768
PC11	2.5309261631013973
PC12	2.52826835439175
PC13	2.523311824033603
PC14	2.5147358087843337
PC15	2.5141092640528595
PC16	2.5046488849338284
PC17	2.5042479236793693
PC18	2.5016282045409373
PC19	2.4974157812036135
PC20	2.4949597033234525
PC21	2.487940772674996
PC22	2.477710199726672
PC23	2.46881945826668
PC24	2.454650269571766
PC25	2.449347296550707
PC26	2.4390507199115183
PC27	2.4343290491844494
PC28	2.4198669195381157
PC29	2.419132037470526
PC30	2.3695373241928386
PC31	2.3660064485137586
PC32	2.3522664904144897
