PC	variation
PC01	3.4436211874587292
PC02	2.769422476383458
PC03	2.7383582207367327
PC04	2.4982028682554276
PC05	2.496263858159058
PC06	2.485949808548667
PC07	2.4833241211892827
PC08	2.478063523447977
PC09	2.473281056485497
PC10	2.469635465139813
PC11	2.4664528509449393
PC12	2.461518409545392
PC13	2.4585034981855562
PC14	2.4553824510123214
PC15	2.4510539757845584
PC16	2.447459060344386
PC17	2.4443939493429387
PC18	2.442754548796363
PC19	2.4407992897457045
PC20	2.4380535659519857
PC21	2.433483636901256
PC22	2.432712727686759
PC23	2.42918169206326
PC24	2.4137744716077187
PC25	2.4097214443702124
PC26	2.3990409222160785
PC27	2.3923993997604467
PC28	2.3780276079705294
PC29	2.3401062634359726
PC30	2.337615440283041
PC31	2.3334031019535644
PC32	2.3306340086342834
