PC	variation
PC01	4.218779171996556
PC02	3.0675210132855115
PC03	2.9981094448532906
PC04	2.5658902100668652
PC05	2.500035524921731
PC06	2.489722480775158
PC07	2.470908770777237
PC08	2.4479704391709975
PC09	2.446814066496721
PC10	2.4291673191445406
PC11	2.421455011390465
PC12	2.4170517123660304
PC13	2.411816565711296
PC14	2.4011422355430385
PC15	2.3939780028869517
PC16	2.390241630778428
PC17	2.388649925319114
PC18	2.381159876308282
PC19	2.3794778377323182
PC20	2.3782654217243087
PC21	2.375586030091038
PC22	2.3724102366512403
PC23	2.3693129845493837
PC24	2.366258262741341
PC25	2.3584596324538953
PC26	2.3536178727945476
PC27	2.350756341449663
PC28	2.339423413110867
PC29	2.3029160067676444
PC30	2.3016253166989213
PC31	2.2891574966856667
PC32	2.281455520096099
