PC	variation
PC01	4.218850965796139
PC02	3.067300893919507
PC03	2.9980284872866814
PC04	2.5678808270928735
PC05	2.500576977169559
PC06	2.4881036960065153
PC07	2.4707013655462595
PC08	2.448694858955958
PC09	2.444771915357458
PC10	2.42832171727288
PC11	2.4200783738077245
PC12	2.416229578917517
PC13	2.410900564232922
PC14	2.400723322162452
PC15	2.3943961409456183
PC16	2.3908822142437716
PC17	2.3884242392879207
PC18	2.3811567037390997
PC19	2.3794872438994736
PC20	2.3787392674712464
PC21	2.376011692464933
PC22	2.3729467922901972
PC23	2.369546235796718
PC24	2.3664529122812823
PC25	2.358759289467027
PC26	2.3538024293004245
PC27	2.351445454519685
PC28	2.34000033566421
PC29	2.3025367568679274
PC30	2.301063973426982
PC31	2.288800724462842
PC32	2.281473502432299
