PC	variation
PC01	4.176466762997556
PC02	3.032110436779552
PC03	2.9886720728087433
PC04	2.5712970123375314
PC05	2.504230847080122
PC06	2.4938780954502673
PC07	2.4767798162213626
PC08	2.4542047536910196
PC09	2.451253720802811
PC10	2.4355666814679475
PC11	2.4286183992441717
PC12	2.4243091182710113
PC13	2.41959623169412
PC14	2.4087596978905554
PC15	2.402848324698043
PC16	2.3982979540537137
PC17	2.3962665948355557
PC18	2.388723706464501
PC19	2.38825932005847
PC20	2.3850129482598135
PC21	2.384803691543795
PC22	2.3816459815163675
PC23	2.3781964336491135
PC24	2.3746876019674783
PC25	2.366482181804984
PC26	2.3627799121679165
PC27	2.3576972109655996
PC28	2.3466985075463094
PC29	2.2979870458692986
PC30	2.2886171154522605
PC31	2.278492080803553
PC32	2.2778037073097837
