PC	variation
PC01	3.409945707472189
PC02	2.8103483372276927
PC03	2.7633265609948268
PC04	2.569991200134514
PC05	2.5484865566097796
PC06	2.5422928177626907
PC07	2.5281647203732844
PC08	2.516415970484064
PC09	2.5055525567539614
PC10	2.50382380804339
PC11	2.4960712322896517
PC12	2.4897778438851934
PC13	2.4802061194552567
PC14	2.4765557310828825
PC15	2.4700606886782723
PC16	2.4680936292943283
PC17	2.460699799831448
PC18	2.458564350314853
PC19	2.45468244708394
PC20	2.448052600099508
PC21	2.437424730503911
PC22	2.434120420913243
PC23	2.4259436936636196
PC24	2.4118525104628166
PC25	2.4085601825174825
PC26	2.4009156301557275
PC27	2.393843113279737
PC28	2.3892504097960616
PC29	2.3827153281569755
PC30	2.380114278604604
PC31	2.366968006735085
PC32	2.361306555496228
