PC	variation
PC01	2.8701850150754984
PC02	2.7015745158111324
PC03	2.653351116709862
PC04	2.5969135493436695
PC05	2.5763352631753134
PC06	2.5732083811891346
PC07	2.5596032760993466
PC08	2.5502177877556025
PC09	2.5433580076063103
PC10	2.5288418214416555
PC11	2.5250751571511434
PC12	2.5167957428463135
PC13	2.5132672233862086
PC14	2.5101097711612668
PC15	2.505335830218519
PC16	2.5000906130136524
PC17	2.4962212396214505
PC18	2.493310204056518
PC19	2.4898856313525783
PC20	2.4814459456471347
PC21	2.478571645016112
PC22	2.4732617830638297
PC23	2.4707912471711335
PC24	2.461070777371413
PC25	2.447896096181137
PC26	2.436378981923484
PC27	2.4342133250350324
PC28	2.4238515130358786
PC29	2.409935242347052
PC30	2.3761268118607326
PC31	2.3475990893769985
PC32	2.3464037403955063
